"","X","modelbaseversion","suppliercountry","suppliernationalidentifier","publicationlanguage","publicationtime","publicationcountry","publicationnationalidentifier","situationid","situationconfidentiality","situationinformationstatus","situationurgency","situationrecordid","situationrecordcreationtime","situationrecordversion","situationrecordversiontime","situationrecordfirstsupplierversiontime","probabilityofoccurrence","validitystatus","overallstarttime","delaytimevalue","openlrbinary","openlrversion","alertceventcode","abnormaltraffictype","averagespeed","effectonroadlayout","roadmaintenancetype","roadmaintenancevalue","roadmaintenancelang","constructionworktype","networkmanagementtype","vehicleobstructiontype","accidenttype","obstructiontype","environmentalobstructiontype","poorenvironmenttype","ID","lon","lat"
"1566",257,1,"nl","TomTom Traffic Service","en","2016-04-23 10:58:30","other","76624715-56b0-46f7-a8cc-567fb22069ce","TTI-76624715-56b0-46f7-a8cc-567fb22069ce-TTL144954117926544","internalUse","real","urgent","TTI-76624715-56b0-46f7-a8cc-567fb22069ce-TTL144954117926544-1","2016-04-23 09:13:30",8,"2016-04-23 10:58:30","2016-04-23 10:58:30","probable","active","2016-04-23 09:13:30",463,"C/wxuRm1/wskCAFS/14KIBo=",3,101,"stationaryTraffic",3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"TTI-76624715-56b0-46f7-a8cc-567fb22069ce-TTL145000284147408",-5.35290934317521,36.1337592781661
"1567",258,1,"nl","TomTom Traffic Service","en","2016-04-23 11:13:58","other","76624715-56b0-46f7-a8cc-567fb22069ce","TTI-76624715-56b0-46f7-a8cc-567fb22069ce-TTL144954117926544","internalUse","real","urgent","TTI-76624715-56b0-46f7-a8cc-567fb22069ce-TTL144954117926544-1","2016-04-23 09:13:30",12,"2016-04-23 11:13:58","2016-04-23 11:13:58","probable","active","2016-04-23 09:13:30",788,"C/wxTBm16gw0DQI8/4sKIBA=",3,101,"stationaryTraffic",3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"TTI-76624715-56b0-46f7-a8cc-567fb22069ce-TTL144963351116944",-5.35383276126591,36.1458745378209
"1568",259,1,"nl","TomTom Traffic Service","en","2016-04-23 11:28:30","other","76624715-56b0-46f7-a8cc-567fb22069ce","TTI-76624715-56b0-46f7-a8cc-567fb22069ce-TTL144954117926544","internalUse","real","urgent","TTI-76624715-56b0-46f7-a8cc-567fb22069ce-TTL144954117926544-1","2016-04-23 09:13:30",13,"2016-04-23 11:28:30","2016-04-23 11:28:30","probable","active","2016-04-23 09:13:30",798,"C/wxURm16gw4DQIx/4sKIBA=",3,101,"stationaryTraffic",3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"TTI-76624715-56b0-46f7-a8cc-567fb22069ce-TTL144991050572992",-5.35264192775132,36.1342579422658
"1569",260,1,"nl","TomTom Traffic Service","en","2016-04-23 11:44:00","other","76624715-56b0-46f7-a8cc-567fb22069ce","TTI-76624715-56b0-46f7-a8cc-567fb22069ce-TTL144954117926544","internalUse","real","urgent","TTI-76624715-56b0-46f7-a8cc-567fb22069ce-TTL144954117926544-1","2016-04-23 09:13:30",14,"2016-04-23 11:44:00","2016-04-23 11:44:00","probable","active","2016-04-23 09:13:30",821,"C/wxVRm14gw+DgIo/5wKIBA=",3,101,"stationaryTraffic",3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"TTI-76624715-56b0-46f7-a8cc-567fb22069ce-TTL145000284147408",-5.35290934317521,36.1337592781661
"1570",261,1,"nl","TomTom Traffic Service","en","2016-04-23 11:59:45","other","76624715-56b0-46f7-a8cc-567fb22069ce","TTI-76624715-56b0-46f7-a8cc-567fb22069ce-TTL144954117926544","internalUse","real","urgent","TTI-76624715-56b0-46f7-a8cc-567fb22069ce-TTL144954117926544-1","2016-04-23 09:13:30",15,"2016-04-23 11:59:45","2016-04-23 11:59:45","probable","active","2016-04-23 09:13:30",722,"C/wxUxm13gooDAIu/6YKIBI=",3,101,"stationaryTraffic",3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"TTI-76624715-56b0-46f7-a8cc-567fb22069ce-TTL144963351116944",-5.35383276126591,36.1458745378209
"1571",262,1,"nl","TomTom Traffic Service","en","2016-04-23 12:13:00","other","76624715-56b0-46f7-a8cc-567fb22069ce","TTI-76624715-56b0-46f7-a8cc-567fb22069ce-TTL144954117926544","internalUse","real","urgent","TTI-76624715-56b0-46f7-a8cc-567fb22069ce-TTL144954117926544-1","2016-04-23 09:13:30",15,"2016-04-23 12:13:00","2016-04-23 12:13:00","probable","active","2016-04-23 09:13:30",722,"C/wxUxm13gooDAIu/6YKIBI=",3,101,"stationaryTraffic",3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"TTI-76624715-56b0-46f7-a8cc-567fb22069ce-TTL144991050572992",-5.35264192775132,36.1342579422658
"1572",263,1,"nl","TomTom Traffic Service","en","2016-04-23 12:29:00","other","76624715-56b0-46f7-a8cc-567fb22069ce","TTI-76624715-56b0-46f7-a8cc-567fb22069ce-TTL144954117926544","internalUse","real","urgent","TTI-76624715-56b0-46f7-a8cc-567fb22069ce-TTL144954117926544-1","2016-04-23 09:13:30",16,"2016-04-23 12:29:00","2016-04-23 12:29:00","probable","active","2016-04-23 09:13:30",821,"C/wxVRm14gw+DgIo/5wKIBA=",3,101,"stationaryTraffic",3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"TTI-76624715-56b0-46f7-a8cc-567fb22069ce-TTL145000284147408",-5.35290934317521,36.1337592781661
"1573",264,1,"nl","TomTom Traffic Service","en","2016-04-23 12:44:00","other","76624715-56b0-46f7-a8cc-567fb22069ce","TTI-76624715-56b0-46f7-a8cc-567fb22069ce-TTL144954117926544","internalUse","real","urgent","TTI-76624715-56b0-46f7-a8cc-567fb22069ce-TTL144954117926544-1","2016-04-23 09:13:30",16,"2016-04-23 12:44:00","2016-04-23 12:44:00","probable","active","2016-04-23 09:13:30",821,"C/wxVRm14gw+DgIo/5wKIBA=",3,101,"stationaryTraffic",3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"TTI-76624715-56b0-46f7-a8cc-567fb22069ce-TTL144963351116944",-5.35383276126591,36.1458745378209
"1574",265,1,"nl","TomTom Traffic Service","en","2016-04-23 13:29:00","other","76624715-56b0-46f7-a8cc-567fb22069ce","TTI-76624715-56b0-46f7-a8cc-567fb22069ce-TTL144944884377744","internalUse","real","urgent","TTI-76624715-56b0-46f7-a8cc-567fb22069ce-TTL144944884377744-1","2016-04-23 13:27:00",1,"2016-04-23 13:29:00","2016-04-23 13:29:00","probable","active","2016-04-23 13:27:00",123,"C/wxuRm1/wskBwFc/68LIBg=",3,108,"queueingTraffic",8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"TTI-76624715-56b0-46f7-a8cc-567fb22069ce-TTL144991050572992",-5.35275192789042,36.1343379424093
"1575",266,1,"nl","TomTom Traffic Service","en","2016-04-25 08:14:00","other","76624715-56b0-46f7-a8cc-567fb22069ce","TTI-76624715-56b0-46f7-a8cc-567fb22069ce-TTL144944884416144","internalUse","real","urgent","TTI-76624715-56b0-46f7-a8cc-567fb22069ce-TTL144944884416144-1","2016-04-25 07:30:30",2,"2016-04-25 08:14:00","2016-04-25 08:14:00","probable","active","2016-04-25 07:30:30",741,"C/wxURm16gw4DAI7/9wLIA4=",3,101,"stationaryTraffic",3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"TTI-76624715-56b0-46f7-a8cc-567fb22069ce-TTL145000284147408",-5.35290934317521,36.1337592781661
"1576",267,1,"nl","TomTom Traffic Service","en","2016-04-25 08:29:00","other","76624715-56b0-46f7-a8cc-567fb22069ce","TTI-76624715-56b0-46f7-a8cc-567fb22069ce-TTL144944884416144","internalUse","real","urgent","TTI-76624715-56b0-46f7-a8cc-567fb22069ce-TTL144944884416144-1","2016-04-25 07:30:30",2,"2016-04-25 08:29:00","2016-04-25 08:29:00","probable","active","2016-04-25 07:30:30",741,"C/wxURm16gw4DAI7/9wLIA4=",3,101,"stationaryTraffic",3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"TTI-76624715-56b0-46f7-a8cc-567fb22069ce-TTL144963351116944",-5.35364276121614,36.1458945377403
"1577",268,1,"nl","TomTom Traffic Service","en","2016-04-25 08:44:00","other","76624715-56b0-46f7-a8cc-567fb22069ce","TTI-76624715-56b0-46f7-a8cc-567fb22069ce-TTL144944884416144","internalUse","real","urgent","TTI-76624715-56b0-46f7-a8cc-567fb22069ce-TTL144944884416144-1","2016-04-25 07:30:30",2,"2016-04-25 08:44:00","2016-04-25 08:44:00","probable","active","2016-04-25 07:30:30",741,"C/wxURm16gw4DAI7/9wLIA4=",3,101,"stationaryTraffic",3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"TTI-76624715-56b0-46f7-a8cc-567fb22069ce-TTL144991050572992",-5.35275192789042,36.1343379424093
"1578",269,1,"nl","TomTom Traffic Service","en","2016-04-25 08:59:00","other","76624715-56b0-46f7-a8cc-567fb22069ce","TTI-76624715-56b0-46f7-a8cc-567fb22069ce-TTL144944884416144","internalUse","real","urgent","TTI-76624715-56b0-46f7-a8cc-567fb22069ce-TTL144944884416144-1","2016-04-25 07:30:30",4,"2016-04-25 08:59:00","2016-04-25 08:59:00","probable","active","2016-04-25 07:30:30",741,"C/wxURm16gw4DAI7/9wLIA4=",3,101,"stationaryTraffic",3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"TTI-76624715-56b0-46f7-a8cc-567fb22069ce-TTL145000284147408",-5.35290934317521,36.1337592781661
"1579",270,1,"nl","TomTom Traffic Service","en","2016-04-25 09:43:30","other","76624715-56b0-46f7-a8cc-567fb22069ce","TTI-76624715-56b0-46f7-a8cc-567fb22069ce-TTL144954117337872","internalUse","real","urgent","TTI-76624715-56b0-46f7-a8cc-567fb22069ce-TTL144954117337872-1","2016-04-25 09:41:00",1,"2016-04-25 09:43:30","2016-04-25 09:43:30","probable","active","2016-04-25 09:41:00",226,"C/wyQhm03gohDwB8AjULLic=",3,108,"queueingTraffic",9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"TTI-76624715-56b0-46f7-a8cc-567fb22069ce-TTL144963351116944",-5.35364276121614,36.1458945377403
"1580",271,1,"nl","TomTom Traffic Service","en","2016-04-25 09:43:30","other","76624715-56b0-46f7-a8cc-567fb22069ce","TTI-76624715-56b0-46f7-a8cc-567fb22069ce-TTL144944884364944","internalUse","real","urgent","TTI-76624715-56b0-46f7-a8cc-567fb22069ce-TTL144944884364944-1","2016-04-25 09:36:00",2,"2016-04-25 09:43:30","2016-04-25 09:43:30","probable","active","2016-04-25 09:36:00",722,"C/wxUxm13gooDAIu/6YKIBI=",3,101,"stationaryTraffic",3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"TTI-76624715-56b0-46f7-a8cc-567fb22069ce-TTL144991050572992",-5.35275192789042,36.1343379424093
"1581",272,1,"nl","TomTom Traffic Service","en","2016-04-25 09:59:00","other","76624715-56b0-46f7-a8cc-567fb22069ce","TTI-76624715-56b0-46f7-a8cc-567fb22069ce-TTL144944884364944","internalUse","real","urgent","TTI-76624715-56b0-46f7-a8cc-567fb22069ce-TTL144944884364944-1","2016-04-25 09:36:00",3,"2016-04-25 09:59:00","2016-04-25 09:59:00","probable","active","2016-04-25 09:36:00",697,"C/wxUxm13gooCwI4//cLAA==",3,101,"stationaryTraffic",3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"TTI-76624715-56b0-46f7-a8cc-567fb22069ce-TTL145000284147408",-5.35290934317521,36.1337592781661
"1582",273,1,"nl","TomTom Traffic Service","en","2016-04-25 10:14:00","other","76624715-56b0-46f7-a8cc-567fb22069ce","TTI-76624715-56b0-46f7-a8cc-567fb22069ce-TTL144963351104144","internalUse","real","urgent","TTI-76624715-56b0-46f7-a8cc-567fb22069ce-TTL144963351104144-1","2016-04-25 10:01:00",2,"2016-04-25 10:14:00","2016-04-25 10:14:00","probable","active","2016-04-25 10:01:00",338,"C/wyKBm0lAoxCf5f/xsLRAw=",3,101,"stationaryTraffic",5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"TTI-76624715-56b0-46f7-a8cc-567fb22069ce-TTL144963351116944",-5.35364276121614,36.1458945377403
"1583",274,1,"nl","TomTom Traffic Service","en","2016-04-25 10:14:00","other","76624715-56b0-46f7-a8cc-567fb22069ce","TTI-76624715-56b0-46f7-a8cc-567fb22069ce-TTL144944884364944","internalUse","real","urgent","TTI-76624715-56b0-46f7-a8cc-567fb22069ce-TTL144944884364944-1","2016-04-25 09:36:00",6,"2016-04-25 10:14:00","2016-04-25 10:14:00","probable","active","2016-04-25 09:36:00",722,"C/wxUxm13gooDAIu/6YKIBI=",3,101,"stationaryTraffic",3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"TTI-76624715-56b0-46f7-a8cc-567fb22069ce-TTL144991050572992",-5.35275192789042,36.1343379424093
"1584",275,1,"nl","TomTom Traffic Service","en","2016-04-25 10:28:30","other","76624715-56b0-46f7-a8cc-567fb22069ce","TTI-76624715-56b0-46f7-a8cc-567fb22069ce-TTL144963351104144","internalUse","real","urgent","TTI-76624715-56b0-46f7-a8cc-567fb22069ce-TTL144963351104144-1","2016-04-25 10:01:00",2,"2016-04-25 10:28:30","2016-04-25 10:28:30","probable","active","2016-04-25 10:01:00",338,"C/wyKBm0lAoxCf5f/xsLRAw=",3,101,"stationaryTraffic",5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"TTI-76624715-56b0-46f7-a8cc-567fb22069ce-TTL145000284147408",-5.35290934317521,36.1337592781661
"1585",276,1,"nl","TomTom Traffic Service","en","2016-04-25 10:28:30","other","76624715-56b0-46f7-a8cc-567fb22069ce","TTI-76624715-56b0-46f7-a8cc-567fb22069ce-TTL144944884364944","internalUse","real","urgent","TTI-76624715-56b0-46f7-a8cc-567fb22069ce-TTL144944884364944-1","2016-04-25 09:36:00",6,"2016-04-25 10:28:30","2016-04-25 10:28:30","probable","active","2016-04-25 09:36:00",722,"C/wxUxm13gooDAIu/6YKIBI=",3,101,"stationaryTraffic",3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"TTI-76624715-56b0-46f7-a8cc-567fb22069ce-TTL144991050572992",-5.35275192789042,36.1343379424093
"1586",277,1,"nl","TomTom Traffic Service","en","2016-04-25 10:44:00","other","76624715-56b0-46f7-a8cc-567fb22069ce","TTI-76624715-56b0-46f7-a8cc-567fb22069ce-TTL144944884364944","internalUse","real","urgent","TTI-76624715-56b0-46f7-a8cc-567fb22069ce-TTL144944884364944-1","2016-04-25 09:36:00",9,"2016-04-25 10:44:00","2016-04-25 10:44:00","probable","active","2016-04-25 09:36:00",795,"C/wxVRm14gw+DAIy/+0LAA==",3,101,"stationaryTraffic",3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"TTI-76624715-56b0-46f7-a8cc-567fb22069ce-TTL145000284147408",-5.35290934317521,36.1337592781661
"1587",278,1,"nl","TomTom Traffic Service","en","2016-04-25 10:59:00","other","76624715-56b0-46f7-a8cc-567fb22069ce","TTI-76624715-56b0-46f7-a8cc-567fb22069ce-TTL144944884364944","internalUse","real","urgent","TTI-76624715-56b0-46f7-a8cc-567fb22069ce-TTL144944884364944-1","2016-04-25 09:36:00",19,"2016-04-25 10:59:00","2016-04-25 10:59:00","probable","active","2016-04-25 09:36:00",722,"C/wxUxm13gooDAIu/6YKIBI=",3,101,"stationaryTraffic",3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"TTI-76624715-56b0-46f7-a8cc-567fb22069ce-TTL144991050572992",-5.35275192789042,36.1343379424093
"1588",279,1,"nl","TomTom Traffic Service","en","2016-04-25 11:14:30","other","76624715-56b0-46f7-a8cc-567fb22069ce","TTI-76624715-56b0-46f7-a8cc-567fb22069ce-TTL144944884364944","internalUse","real","urgent","TTI-76624715-56b0-46f7-a8cc-567fb22069ce-TTL144944884364944-1","2016-04-25 09:36:00",35,"2016-04-25 11:14:30","2016-04-25 11:14:30","probable","active","2016-04-25 09:36:00",465,"C/wxuRm1/wskBwFc/68LAA==",3,101,"stationaryTraffic",3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"TTI-76624715-56b0-46f7-a8cc-567fb22069ce-TTL145000284147408",-5.35290934317521,36.1337592781661
"1589",280,1,"nl","TomTom Traffic Service","en","2016-04-25 11:29:30","other","76624715-56b0-46f7-a8cc-567fb22069ce","TTI-76624715-56b0-46f7-a8cc-567fb22069ce-TTL144944884364944","internalUse","real","urgent","TTI-76624715-56b0-46f7-a8cc-567fb22069ce-TTL144944884364944-1","2016-04-25 09:36:00",36,"2016-04-25 11:29:30","2016-04-25 11:29:30","probable","active","2016-04-25 09:36:00",463,"C/wxuRm1/wskCAFS/14KIBo=",3,101,"stationaryTraffic",3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"TTI-76624715-56b0-46f7-a8cc-567fb22069ce-TTL144991050572992",-5.35275192789042,36.1343379424093
"1590",281,1,"nl","TomTom Traffic Service","en","2016-04-25 11:44:00","other","76624715-56b0-46f7-a8cc-567fb22069ce","TTI-76624715-56b0-46f7-a8cc-567fb22069ce-TTL144944884364944","internalUse","real","urgent","TTI-76624715-56b0-46f7-a8cc-567fb22069ce-TTL144944884364944-1","2016-04-25 09:36:00",37,"2016-04-25 11:44:00","2016-04-25 11:44:00","probable","active","2016-04-25 09:36:00",516,"C/wxUxm13gooDAIu/6YKIBI=",3,101,"stationaryTraffic",4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"TTI-76624715-56b0-46f7-a8cc-567fb22069ce-TTL145000284147408",-5.35290934317521,36.1337592781661
"1591",282,1,"nl","TomTom Traffic Service","en","2016-04-25 11:59:00","other","76624715-56b0-46f7-a8cc-567fb22069ce","TTI-76624715-56b0-46f7-a8cc-567fb22069ce-TTL144944884364944","internalUse","real","urgent","TTI-76624715-56b0-46f7-a8cc-567fb22069ce-TTL144944884364944-1","2016-04-25 09:36:00",38,"2016-04-25 11:59:00","2016-04-25 11:59:00","probable","active","2016-04-25 09:36:00",722,"C/wxUxm13gooDAIu/6YKIBI=",3,101,"stationaryTraffic",3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"TTI-76624715-56b0-46f7-a8cc-567fb22069ce-TTL144991050572992",-5.35275192789042,36.1343379424093
"1592",283,1,"nl","TomTom Traffic Service","en","2016-04-25 12:14:00","other","76624715-56b0-46f7-a8cc-567fb22069ce","TTI-76624715-56b0-46f7-a8cc-567fb22069ce-TTL144944884364944","internalUse","real","urgent","TTI-76624715-56b0-46f7-a8cc-567fb22069ce-TTL144944884364944-1","2016-04-25 09:36:00",40,"2016-04-25 12:14:00","2016-04-25 12:14:00","probable","active","2016-04-25 09:36:00",766,"C/wxUxm13gooDAIu/6YKAA==",3,101,"stationaryTraffic",3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"TTI-76624715-56b0-46f7-a8cc-567fb22069ce-TTL145000284147408",-5.35290934317521,36.1337592781661
"1593",284,1,"nl","TomTom Traffic Service","en","2016-04-25 12:28:30","other","76624715-56b0-46f7-a8cc-567fb22069ce","TTI-76624715-56b0-46f7-a8cc-567fb22069ce-TTL144963351078544","internalUse","real","urgent","TTI-76624715-56b0-46f7-a8cc-567fb22069ce-TTL144963351078544-1","2016-04-25 12:16:00",2,"2016-04-25 12:28:30","2016-04-25 12:28:30","probable","active","2016-04-25 12:16:00",536,"C/wyPxm03woxDP4t/nsLRB4=",3,101,"stationaryTraffic",4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"TTI-76624715-56b0-46f7-a8cc-567fb22069ce-TTL144991050572992",-5.35275192789042,36.1343379424093
"1594",285,1,"nl","TomTom Traffic Service","en","2016-04-25 12:28:30","other","76624715-56b0-46f7-a8cc-567fb22069ce","TTI-76624715-56b0-46f7-a8cc-567fb22069ce-TTL144944884364944","internalUse","real","urgent","TTI-76624715-56b0-46f7-a8cc-567fb22069ce-TTL144944884364944-1","2016-04-25 09:36:00",42,"2016-04-25 12:28:30","2016-04-25 12:28:30","probable","active","2016-04-25 09:36:00",821,"C/wxVRm14gw+DgIo/5wKIBA=",3,101,"stationaryTraffic",3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"TTI-76624715-56b0-46f7-a8cc-567fb22069ce-TTL145000284147408",-5.35290934317521,36.1337592781661
"1595",286,1,"nl","TomTom Traffic Service","en","2016-04-25 12:43:30","other","76624715-56b0-46f7-a8cc-567fb22069ce","TTI-76624715-56b0-46f7-a8cc-567fb22069ce-TTL144963351078544","internalUse","real","urgent","TTI-76624715-56b0-46f7-a8cc-567fb22069ce-TTL144963351078544-1","2016-04-25 12:16:00",2,"2016-04-25 12:43:30","2016-04-25 12:43:30","probable","active","2016-04-25 12:16:00",536,"C/wyPxm03woxDP4t/nsLRB4=",3,101,"stationaryTraffic",4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"TTI-76624715-56b0-46f7-a8cc-567fb22069ce-TTL144991050572992",-5.35275192789042,36.1343379424093
"1596",287,1,"nl","TomTom Traffic Service","en","2016-04-25 12:43:30","other","76624715-56b0-46f7-a8cc-567fb22069ce","TTI-76624715-56b0-46f7-a8cc-567fb22069ce-TTL144944884364944","internalUse","real","urgent","TTI-76624715-56b0-46f7-a8cc-567fb22069ce-TTL144944884364944-1","2016-04-25 09:36:00",42,"2016-04-25 12:43:30","2016-04-25 12:43:30","probable","active","2016-04-25 09:36:00",821,"C/wxVRm14gw+DgIo/5wKIBA=",3,101,"stationaryTraffic",3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"TTI-76624715-56b0-46f7-a8cc-567fb22069ce-TTL145000284147408",-5.35290934317521,36.1337592781661
"1597",288,1,"nl","TomTom Traffic Service","en","2016-04-25 12:59:00","other","76624715-56b0-46f7-a8cc-567fb22069ce","TTI-76624715-56b0-46f7-a8cc-567fb22069ce-TTL144944884364944","internalUse","real","urgent","TTI-76624715-56b0-46f7-a8cc-567fb22069ce-TTL144944884364944-1","2016-04-25 09:36:00",43,"2016-04-25 12:59:00","2016-04-25 12:59:00","probable","active","2016-04-25 09:36:00",798,"C/wxURm16gw4DQIx/4sKIBA=",3,101,"stationaryTraffic",3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"TTI-76624715-56b0-46f7-a8cc-567fb22069ce-TTL144991050572992",-5.35275192789042,36.1343379424093
"1598",289,1,"nl","TomTom Traffic Service","en","2016-04-25 13:14:00","other","76624715-56b0-46f7-a8cc-567fb22069ce","TTI-76624715-56b0-46f7-a8cc-567fb22069ce-TTL144944884364944","internalUse","real","urgent","TTI-76624715-56b0-46f7-a8cc-567fb22069ce-TTL144944884364944-1","2016-04-25 09:36:00",45,"2016-04-25 13:14:00","2016-04-25 13:14:00","probable","active","2016-04-25 09:36:00",463,"C/wxuRm1/wskCAFS/14KIBo=",3,101,"stationaryTraffic",3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"TTI-76624715-56b0-46f7-a8cc-567fb22069ce-TTL145000284147408",-5.35290934317521,36.1337592781661
"1599",290,1,"nl","TomTom Traffic Service","en","2016-04-25 13:29:00","other","76624715-56b0-46f7-a8cc-567fb22069ce","TTI-76624715-56b0-46f7-a8cc-567fb22069ce-TTL144944884364944","internalUse","real","urgent","TTI-76624715-56b0-46f7-a8cc-567fb22069ce-TTL144944884364944-1","2016-04-25 09:36:00",46,"2016-04-25 13:29:00","2016-04-25 13:29:00","probable","active","2016-04-25 09:36:00",437,"C/wxuRm1/wskBwFc/68LAA==",3,101,"stationaryTraffic",3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"TTI-76624715-56b0-46f7-a8cc-567fb22069ce-TTL144991050572992",-5.35275843317861,36.134331360287
"1600",291,1,"nl","TomTom Traffic Service","en","2016-04-25 13:44:30","other","76624715-56b0-46f7-a8cc-567fb22069ce","TTI-76624715-56b0-46f7-a8cc-567fb22069ce-TTL144944884364944","internalUse","real","urgent","TTI-76624715-56b0-46f7-a8cc-567fb22069ce-TTL144944884364944-1","2016-04-25 09:36:00",47,"2016-04-25 13:44:30","2016-04-25 13:44:30","probable","active","2016-04-25 09:36:00",463,"C/wxuRm1/wskCAFS/14KIBo=",3,101,"stationaryTraffic",3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"TTI-76624715-56b0-46f7-a8cc-567fb22069ce-TTL144991050572992",-5.35275843317861,36.134331360287
"1601",292,1,"nl","TomTom Traffic Service","en","2016-04-25 16:58:00","other","76624715-56b0-46f7-a8cc-567fb22069ce","TTI-76624715-56b0-46f7-a8cc-567fb22069ce-TTL144972584665792","internalUse","real","urgent","TTI-76624715-56b0-46f7-a8cc-567fb22069ce-TTL144972584665792-1","2016-04-25 16:44:00",1,"2016-04-25 16:58:00","2016-04-25 16:58:00","probable","active","2016-04-25 16:44:00",324,"C/wzKRm0WiOaCP33AK4jCQ==",3,101,"stationaryTraffic",5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"TTI-76624715-56b0-46f7-a8cc-567fb22069ce-TTL144944884416144",-5.3483632453462,36.1551755695131
"1602",293,1,"nl","TomTom Traffic Service","en","2016-04-26 07:43:00","other","76624715-56b0-46f7-a8cc-567fb22069ce","TTI-76624715-56b0-46f7-a8cc-567fb22069ce-TTL144944884390544","internalUse","real","urgent","TTI-76624715-56b0-46f7-a8cc-567fb22069ce-TTL144944884390544-1","2016-04-26 07:30:30",1,"2016-04-26 07:43:00","2016-04-26 07:43:00","probable","active","2016-04-26 07:30:30",722,"C/wxUxm13gooDAIu/6YKIBI=",3,101,"stationaryTraffic",3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"TTI-76624715-56b0-46f7-a8cc-567fb22069ce-TTL144944884416144",-5.3483632453462,36.1551755695131
"1603",294,1,"nl","TomTom Traffic Service","en","2016-04-26 07:59:00","other","76624715-56b0-46f7-a8cc-567fb22069ce","TTI-76624715-56b0-46f7-a8cc-567fb22069ce-TTL144944884390544","internalUse","real","urgent","TTI-76624715-56b0-46f7-a8cc-567fb22069ce-TTL144944884390544-1","2016-04-26 07:30:30",1,"2016-04-26 07:59:00","2016-04-26 07:59:00","probable","active","2016-04-26 07:30:30",722,"C/wxUxm13gooDAIu/6YKIBI=",3,101,"stationaryTraffic",3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"TTI-76624715-56b0-46f7-a8cc-567fb22069ce-TTL144944884416144",-5.3483632453462,36.1551755695131
"1604",295,1,"nl","TomTom Traffic Service","en","2016-04-26 08:14:00","other","76624715-56b0-46f7-a8cc-567fb22069ce","TTI-76624715-56b0-46f7-a8cc-567fb22069ce-TTL144963351116944","internalUse","real","urgent","TTI-76624715-56b0-46f7-a8cc-567fb22069ce-TTL144963351116944-1","2016-04-26 07:59:45",8,"2016-04-26 08:14:00","2016-04-26 08:14:00","probable","active","2016-04-26 07:59:45",896,"C/wyUBm1UQswE/2y/aQKKwI=",3,101,"stationaryTraffic",4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"TTI-76624715-56b0-46f7-a8cc-567fb22069ce-TTL144944884416144",-5.3483632453462,36.1551755695131
